Feature
1,ENSMUSG00000101801
2,ENSMUSG00000026582
3,ENSMUSG00000041481
4,ENSMUSG00000054435
5,ENSMUSG00000062609
6,ENSMUSG00000108763
7,ENSMUSG00000086509
8,ENSMUSG00000097471
9,ENSMUSG00000021750
10,ENSMUSG00000105838
11,ENSMUSG00000051498
12,ENSMUSG00000031803
13,ENSMUSG00000087547
14,ENSMUSG00000116009
15,ENSMUSG00000113484
16,ENSMUSG00000020867
17,ENSMUSG00000117033
18,ENSMUSG00000090708
19,ENSMUSG00000058952
20,ENSMUSG00000108237
21,ENSMUSG00000110593
22,ENSMUSG00000044243
23,ENSMUSG00000112143
24,ENSMUSG00000086921
25,ENSMUSG00000053461
26,ENSMUSG00000034968
27,ENSMUSG00000039628
28,ENSMUSG00000046367
29,ENSMUSG00000091387
30,ENSMUSG00000118168
31,ENSMUSG00000097789
32,ENSMUSG00000086836
33,ENSMUSG00000087127
34,ENSMUSG00000052769
35,ENSMUSG00000013611
36,ENSMUSG00000100868
37,ENSMUSG00000112137
38,ENSMUSG00000027412
39,ENSMUSG00000085865
40,ENSMUSG00000036598
41,ENSMUSG00000005131
42,ENSMUSG00000117805
43,ENSMUSG00000109716
44,ENSMUSG00000087467
45,ENSMUSG00000108736
46,ENSMUSG00000097365
47,ENSMUSG00000044633
48,ENSMUSG00000109770
49,ENSMUSG00000085591
50,ENSMUSG00000064016
51,ENSMUSG00000032105
52,ENSMUSG00000029695
53,ENSMUSG00000015890
54,ENSMUSG00000056509
55,ENSMUSG00000113465
56,ENSMUSG00000111531
57,ENSMUSG00000050397
58,ENSMUSG00000085525
59,ENSMUSG00000026649
60,ENSMUSG00000114553
61,ENSMUSG00000087301
62,ENSMUSG00000086969
63,ENSMUSG00000044519
64,ENSMUSG00000038201
65,ENSMUSG00000074207
66,ENSMUSG00000054083
67,ENSMUSG00000038115
68,ENSMUSG00000038155
69,ENSMUSG00000059244
70,ENSMUSG00000024659
71,ENSMUSG00000111990
72,ENSMUSG00000110053
73,ENSMUSG00000023000
74,ENSMUSG00000060969
75,ENSMUSG00000040627
76,ENSMUSG00000029248
77,ENSMUSG00000024526
78,ENSMUSG00000075520
79,ENSMUSG00000093765
80,ENSMUSG00000050270
81,ENSMUSG00000030607
82,ENSMUSG00000029205
83,ENSMUSG00000070390
84,ENSMUSG00000099510
85,ENSMUSG00000097858
86,ENSMUSG00000118216
87,ENSMUSG00000070342
88,ENSMUSG00000115936
89,ENSMUSG00000114125
90,ENSMUSG00000112009
91,ENSMUSG00000053219
92,ENSMUSG00000045314
93,ENSMUSG00000044083
94,ENSMUSG00000005649
95,ENSMUSG00000029280
96,ENSMUSG00000112425
97,ENSMUSG00000105676
98,ENSMUSG00000054150
99,ENSMUSG00000097336
100,ENSMUSG00000026424
101,ENSMUSG00000054258
102,ENSMUSG00000074170
103,ENSMUSG00000032388
104,ENSMUSG00000097890
105,ENSMUSG00000109666
106,ENSMUSG00000039200
107,ENSMUSG00000093629
108,ENSMUSG00000085743
109,ENSMUSG00000057615
110,ENSMUSG00000110210
111,ENSMUSG00000024258
112,ENSMUSG00000114646
113,ENSMUSG00000061878
114,ENSMUSG00000078452
115,ENSMUSG00000016946
116,ENSMUSG00000085176
117,ENSMUSG00000062704
118,ENSMUSG00000028011
119,ENSMUSG00000097831
120,ENSMUSG00000005465
121,ENSMUSG00000078713
122,ENSMUSG00000086369
123,ENSMUSG00000045438
124,ENSMUSG00000114596
125,ENSMUSG00000086765
126,ENSMUSG00000114458
127,ENSMUSG00000022040
128,ENSMUSG00000105809
129,ENSMUSG00000047797
130,ENSMUSG00000006058
131,ENSMUSG00000111532
132,ENSMUSG00000085029
133,ENSMUSG00000002768
134,ENSMUSG00000051124
135,ENSMUSG00000117376
136,ENSMUSG00000049588
137,ENSMUSG00000086585
138,ENSMUSG00000061474
139,ENSMUSG00000027131
140,ENSMUSG00000021116
141,ENSMUSG00000036731
142,ENSMUSG00000002844
143,ENSMUSG00000022404
144,ENSMUSG00000039771
145,ENSMUSG00000060735
146,ENSMUSG00000017831
147,ENSMUSG00000030188
148,ENSMUSG00000090317
149,ENSMUSG00000031879
150,ENSMUSG00000033543
151,ENSMUSG00000024354
152,ENSMUSG00000093749
153,ENSMUSG00000086421
154,ENSMUSG00000086935
155,ENSMUSG00000040236
156,ENSMUSG00000031917
157,ENSMUSG00000023967
158,ENSMUSG00000014504
159,ENSMUSG00000106197
160,ENSMUSG00000094840
161,ENSMUSG00000086927
162,ENSMUSG00000055370
163,ENSMUSG00000029462
164,ENSMUSG00000020407
165,ENSMUSG00000025208
166,ENSMUSG00000078252
167,ENSMUSG00000006235
168,ENSMUSG00000033882
169,ENSMUSG00000054986
170,ENSMUSG00000030689
171,ENSMUSG00000026857
172,ENSMUSG00000002345
173,ENSMUSG00000032288
174,ENSMUSG00000044092
175,ENSMUSG00000028419
176,ENSMUSG00000054006
177,ENSMUSG00000056174
178,ENSMUSG00000013822
179,ENSMUSG00000039342
180,ENSMUSG00000025917
181,ENSMUSG00000086249
182,ENSMUSG00000093622
183,ENSMUSG00000076498
184,ENSMUSG00000032112
185,ENSMUSG00000025213
186,ENSMUSG00000006412
187,ENSMUSG00000054191
188,ENSMUSG00000026966
189,ENSMUSG00000016554
190,ENSMUSG00000078570
191,ENSMUSG00000035279
192,ENSMUSG00000074211
193,ENSMUSG00000101505
194,ENSMUSG00000021576
195,ENSMUSG00000118064
196,ENSMUSG00000017188
197,ENSMUSG00000028334
198,ENSMUSG00000026895
199,ENSMUSG00000020514
200,ENSMUSG00000028857
201,ENSMUSG00000046034
202,ENSMUSG00000115261
203,ENSMUSG00000087623
204,ENSMUSG00000089687
205,ENSMUSG00000111256
206,ENSMUSG00000036733
207,ENSMUSG00000056130
208,ENSMUSG00000038622
