Feature,Normalized.Dispersion
ENSMUSG00000051951,7.228141677439601
ENSMUSG00000089699,-0.7683154319307465
ENSMUSG00000102331,-0.0182385686702876
ENSMUSG00000025900,-0.1831965514366963
ENSMUSG00000025902,16.21296920061685
ENSMUSG00000104238,NaN
ENSMUSG00000104328,NaN
ENSMUSG00000033845,0.996988569424391
ENSMUSG00000025903,0.4340958541671465
ENSMUSG00000033813,-0.7884353471846532
ENSMUSG00000002459,8.631708630882066
ENSMUSG00000033793,-1.1722759808840422
ENSMUSG00000025905,NaN
ENSMUSG00000025907,1.473957430606596
ENSMUSG00000090031,0.01056997289742908
ENSMUSG00000087247,-0.7476248667429097
ENSMUSG00000033740,5.514898550440009
ENSMUSG00000051285,-0.8387971610430381
ENSMUSG00000097797,-0.07411119069373846
ENSMUSG00000025909,8.150069059911424
ENSMUSG00000061024,-1.5086178874452238
ENSMUSG00000025911,-0.2554749252940391
ENSMUSG00000079671,-1.464048585750705
ENSMUSG00000067879,-0.7371645310825774
ENSMUSG00000025912,0.40369483728962346
ENSMUSG00000045210,7.256956769121376
ENSMUSG00000097893,-0.29147652796387646
ENSMUSG00000025915,1.6712531569131537
ENSMUSG00000046101,-0.2341253081638298
ENSMUSG00000098234,-1.3817726987073191
ENSMUSG00000099032,NaN
ENSMUSG00000025916,-0.3250435009211033
ENSMUSG00000025917,-1.985108062227401
ENSMUSG00000056763,1.141304982065007
ENSMUSG00000067851,0.9541177424282483
ENSMUSG00000042501,NaN
ENSMUSG00000048960,10.109936555803714
ENSMUSG00000057715,3.9283794826833582
ENSMUSG00000097171,NaN
ENSMUSG00000016918,8.362731572332134
ENSMUSG00000025938,1.1911773759002617
ENSMUSG00000099498,NaN
ENSMUSG00000042414,NaN
ENSMUSG00000005886,0.4786236684746106
ENSMUSG00000101476,NaN
ENSMUSG00000025935,-0.8413963176674877
ENSMUSG00000025937,2.6830977593777345
ENSMUSG00000067813,NaN
ENSMUSG00000025932,2.869565410221111
ENSMUSG00000054493,0.8337629217693554
ENSMUSG00000025930,12.959148481618582
ENSMUSG00000092083,3.561163597621442
ENSMUSG00000025925,-0.5441350427014692
ENSMUSG00000032719,-1.652530733864652
ENSMUSG00000067795,-0.5009631231723363
ENSMUSG00000043716,-1.2229484580412673
ENSMUSG00000025921,1.1724880291093578
ENSMUSG00000100868,-4.224576393864255
ENSMUSG00000025920,-0.09299387179253615
ENSMUSG00000089982,-0.9793732927400234
ENSMUSG00000025939,-0.8163037846801571
ENSMUSG00000079658,-0.8998188942433688
ENSMUSG00000097744,0.32110182679895266
ENSMUSG00000025940,-0.7820572461911791
ENSMUSG00000025779,-0.6384639868583745
ENSMUSG00000101640,-0.5008590962578782
ENSMUSG00000042686,5.1199325220368515
ENSMUSG00000025777,-0.7862767040713379
ENSMUSG00000099899,-0.160364830406836
ENSMUSG00000067780,NaN
ENSMUSG00000100053,-0.6970948129895131
ENSMUSG00000085125,1.2975128364336121
ENSMUSG00000025776,0.4549429331252973
ENSMUSG00000099895,1.963860065480762
ENSMUSG00000109887,1.37289284992502
ENSMUSG00000025774,NaN
ENSMUSG00000089787,0.3676569115202631
ENSMUSG00000042596,11.224981895173345
ENSMUSG00000025927,NaN
ENSMUSG00000043760,-1.6830088803007426
ENSMUSG00000089914,NaN
ENSMUSG00000041859,2.295548862251191
ENSMUSG00000097934,1.5622232370233609
ENSMUSG00000025931,2.043356284057431
ENSMUSG00000041809,0.6799972073596728
ENSMUSG00000041779,3.417399262328348
ENSMUSG00000025933,-1.1853624192904915
ENSMUSG00000025934,-1.3335125761493798
ENSMUSG00000028033,26.476924688346433
ENSMUSG00000041670,2.2028697630421474
ENSMUSG00000101227,0.12506332393944397
ENSMUSG00000100775,-1.1598931379987487
ENSMUSG00000026158,-0.10480563849921218
ENSMUSG00000099503,-0.7165861698209571
ENSMUSG00000026156,2.1848352890483795
ENSMUSG00000026155,-0.2859075465018488
ENSMUSG00000026154,-1.679897775888201
ENSMUSG00000026153,0.6016448955415297
ENSMUSG00000026147,0.835637182795084
ENSMUSG00000026141,6.887609176499418
ENSMUSG00000073725,-0.5173459380274771
ENSMUSG00000033569,10.284458112372134
ENSMUSG00000048874,0.1657325700816707
ENSMUSG00000026064,-0.8257947495659639
ENSMUSG00000117310,-0.3254378569217687
ENSMUSG00000086727,3.3622188080249344
ENSMUSG00000100910,NaN
ENSMUSG00000026058,5.4089797677571685
ENSMUSG00000091318,-0.33799219611675785
ENSMUSG00000102917,NaN
ENSMUSG00000026134,4.3875538943215675
ENSMUSG00000004768,-1.2826717743053115
ENSMUSG00000042215,-1.2802935403569642
ENSMUSG00000042197,-0.5891011779121651
ENSMUSG00000042182,0.8802704405901423
ENSMUSG00000026131,2.201174740266968
ENSMUSG00000096992,4.686253579895815
ENSMUSG00000102336,4.249389092637034
ENSMUSG00000042111,-1.6770373651226185
ENSMUSG00000101711,NaN
ENSMUSG00000026127,-1.4297137476715913
ENSMUSG00000026126,7.83936207774146
ENSMUSG00000045174,-1.1106347369944454
ENSMUSG00000037509,3.0521412536280215
ENSMUSG00000104002,3.6878279647997303
ENSMUSG00000037503,-0.2922426884889777
ENSMUSG00000026123,-1.1451843155316557
ENSMUSG00000102531,NaN
ENSMUSG00000103708,NaN
ENSMUSG00000045216,-0.409848975840034
ENSMUSG00000037470,-0.37622579058374206
ENSMUSG00000047180,10.663336251519784
ENSMUSG00000037447,-0.044170623905128166
ENSMUSG00000102762,-1.2527039350797486
