Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSMUSG00000051951,Xkr4,6.667094271501887,3.4147433839587427,0.0000000000000000000000000000000000004131689988666652,0.4710691436201893,-3.781814657860264,0.000000000000000000000000000000000000026420283527975696,1.8418808770975685,-1.551899990786867,0.326096417593043
ENSMUSG00000089699,Gm1992,0.16158300375257031,4.212335656786518,0.00000000000027623117038116664,0.006588379631051599,-3.994332935376535,0.00000000002071747131527465,0,-2.331078795702631,0.3365292912147571
ENSMUSG00000102331,Gm19938,0.6786486157607954,3.1611620422691082,0.00000000000000000000002356285899375535,0.039530277786309596,-3.9677244664556577,0.000000000000000000000000017229758301813285,0.34206359146097703,-0.5948638233228112,1
ENSMUSG00000025900,Rp1,0,-5.79001057082587,0.0000000023653876009279187,0.05270703704841279,6.008013292235853,0.00000000043866986382202115,0,1.0971582013310721,1
ENSMUSG00000025902,Sox17,0.0008976833541809462,-7.1944008259052055,0.00000000026501125146635686,0.28659451395074453,6.379982069622811,0.000000001900814537036053,0.05262516791707339,0.29385011233616964,0.9190620528800152
ENSMUSG00000104238,Gm37587,0,-2.7025477295755307,0.4100821748617046,0.0032941898155257996,2.9205504509855134,0.3709556195720966,0,4.184621042581412,1
ENSMUSG00000104328,Gm37323,0.0008976833541809462,-0.7025477295755298,1,0,0.9205504509855142,1,0,4.184621042581412,1
ENSMUSG00000033845,Mrpl15,1.016177556932831,-0.30144942125456115,0.24015111959123153,1.3703829632587325,0.4633221414458716,0.05154685414166557,0.31575100750244034,-1.7120606680670651,0.2482361535765737
ENSMUSG00000025903,Lypla1,0.4084459261523305,-0.8180249469954669,0.0004870381787700816,0.7741346066485629,0.9359147606376934,0.00007762648979591163,0.28943842354390364,-0.6629583570856912,1
ENSMUSG00000033813,Tcea1,1.5278570688159705,-0.04550060694781932,0.9444077898018098,1.7063903244423642,0.18859712025429687,0.4930119321117867,0.5525642631292705,-1.4729410163282723,0.30765370620980564
ENSMUSG00000002459,Rgs20,0.21723937171178898,-3.801489579269167,0.000000000000000000000000000000000000000000000000000000000010811937328090482,3.3765445609139446,3.9121382111693137,0.00000000000000000000000000000000000000000000000000000000000005083905002351344,0.3946887593780504,-1.123717987557996,0.8381082152863306
ENSMUSG00000033793,Atp6v1h,1.5233686520450658,0.5312179870903365,0.03147213876859921,1.1134361576477203,-0.42250093546760226,0.1240223725064107,0.5788768470878073,-1.2833388474372711,0.4182381866827547
ENSMUSG00000025905,Oprk1,0,-2.7025477295755307,0.4100821748617046,0.0032941898155257996,2.9205504509855134,0.3709556195720966,0,4.184621042581412,1
ENSMUSG00000025907,Rb1cc1,1.6508396883387602,0.6351476811701481,0.009318520424064008,1.0442581715216785,-0.6476805544052269,0.011689372091427022,1.2103788620926879,-0.3356005669014053,1
ENSMUSG00000090031,4732440D04Rik,0.08976833541809462,0.37070125245510743,0.5121134125760296,0.065883796310516,-0.3875718443768177,0.5395710790013448,0.07893775187561008,0.2657578053068166,1
ENSMUSG00000087247,Alkal1,0.0026930500625428387,0.2974522704244702,1,0,-0.07944954901448575,1,0,3.184621042581412,1
ENSMUSG00000033740,St18,0.1436293366689514,-0.6195583649044991,0.19228827134409923,0.22729909727128017,0.6661291754564287,0.1637835896354001,0.15787550375122017,0.1464859136946397,1
ENSMUSG00000051285,Pcmtd1,1.6194207709424269,0.7576833875809187,0.001256985914338293,0.9717859955801108,-0.7131320944968855,0.004205816000020946,0.8420026866731742,-0.8071584506136203,0.8048845273531213
ENSMUSG00000097797,Gm26901,0.1768436207736464,0.8824147711456249,0.018544680297658652,0.08235474538814498,-1.05848993037884,0.007145950229529256,0.18418808770975686,0.383721142661106,1
